OrigOrder,PriorityOrder,Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq,Runway,RwyHdg,TDZE,VasiGS,VasiBoxLat,VasiBoxLong,NwLat,NwLong,NeLat,NeLong,SwLat,SwLong,SeLat,SeLong,CenterLat,CenterLong
15539,10,Y37,Park River - W C Skjerven Field Airport,PARK RIVER,ND,48.394083,-97.780778,1104,122.8,22,222.29,1104,NA,NA,NA,48.397551,-97.777234,48.397328,-97.776939,48.392413,-97.784339,48.392219,-97.78403,48.39487775,-97.7806355
15539,10,Y37,Park River - W C Skjerven Field Airport,PARK RIVER,ND,48.394083,-97.780778,1104,122.8,4,42.29,1104,NA,NA,NA,48.397551,-97.777234,48.397328,-97.776939,48.392413,-97.784339,48.392219,-97.78403,48.39487775,-97.7806355
10555,13,D41,STEPHEN MUNI,STEPHEN,MN,48.458333,-96.863333,830,122.7,35,356.04,830,NA,NA,NA,48.464967,-96.866177,48.464973,-96.865934,48.457572,-96.865435,48.457583,-96.865195,48.46127375,-96.86568525
10555,13,D41,STEPHEN MUNI,STEPHEN,MN,48.458333,-96.863333,830,122.7,17,176.04,830,NA,NA,NA,48.464967,-96.866177,48.464973,-96.865934,48.457572,-96.865435,48.457583,-96.865195,48.46127375,-96.86568525
11005,,FAR,HECTOR INTERNATIONAL,FARGO,ND,46.92065,-96.815764,900,,18,180,900,3,46.929307,-96.816151,46.932867,-96.816404,46.932863,-96.815808,46.908191,-96.816704,46.908189,-96.816105,46.9205275,-96.81625525
11005,,FAR,HECTOR INTERNATIONAL,FARGO,ND,46.92065,-96.815764,900,,36,360,899,3,46.911896,-96.816361,46.932867,-96.816404,46.932863,-96.815808,46.908191,-96.816704,46.908189,-96.816105,46.9205275,-96.81625525
11005,,FAR,HECTOR INTERNATIONAL,FARGO,ND,46.92065,-96.815764,900,,9,90,900,3,46.927118,-96.824121,46.92713,-96.802107,46.92686,-96.802109,46.927272,-96.827322,46.926999,-96.827328,46.92706525,-96.8147165
11005,,FAR,HECTOR INTERNATIONAL,FARGO,ND,46.92065,-96.815764,900,,27,270,899,3,46.927015,-96.805304,46.92713,-96.802107,46.92686,-96.802109,46.927272,-96.827322,46.926999,-96.827328,46.92706525,-96.8147165
12379,,JMS,JAMESTOWN MUNI,JAMESTOWN,ND,46.929722,-98.678194,1498,123,13,135,1500,3,46.924949,-98.67136,46.935565,-98.68726,46.935755,-98.686977,46.923008,-98.668791,46.923198,-98.668505,46.9293815,-98.67788325
12379,,JMS,JAMESTOWN MUNI,JAMESTOWN,ND,46.929722,-98.678194,1498,123,31,315,1498,3,46.933046,-98.683274,46.935565,-98.68726,46.935755,-98.686977,46.923008,-98.668791,46.923198,-98.668505,46.9293815,-98.67788325
